,,,,,,,,,,,,,,,,RE Task & Application Domain,,,,,,,,GenAI Model & Configuration,,,LLM Application Strategy & Prompt Engineering,,,,,Outputs & Resources,,,,Evaluation,,,Study Quality,,,,,Challenges & Future Directions,,,,,,,,,,,
28,Exploring Large Language Models’ Ability to Describe Entity-Relationship Schema-Based Conceptual Data Models,Avignone A.; Tierno A.; Fiori A.; Chiusano S.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006565084&doi=10.3390%2finfo16050368&partnerID=40&md5=ccdec45949e154c2fa59ff5d353adce6,Article,exploring large language models’ ability to describe entity-relationship schema-based conceptual data models,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,,,,,Generic, User Story Elicitation,GPT-3.5,No,temperature=0.2,Standalone,No,Few-shot,Instruction + Role-playing,Yes, ChatGPT API,Yes,No,No,Qualitative analysis and quantitative indicators,Controlled Experiment,Functional Suitability,1,1,1,0.5,3.5,0,1,0,1,0,0,1,1,1,0,Exploration phase,Prompt design and user interaction have a great impact on quality (non-standardized)
29,Generative language models potential for requirement engineering applications: insights into current strengths and limitations,Saleem S.; Asim M.N.; Elst L.V.; Dengel A.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004442965&doi=10.1007%2fs40747-024-01707-6&partnerID=40&md5=2fa68c7a3a20335a71d4ba7d1ffe11dc,Article,generative language models potential for requirement engineering applications: insights into current strengths and limitations,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,,,,,"Aerospace (for NER), Defense & Security (QA), General Software Systems","Named Entity Recognition (SYS, VAL, ORG, DATETIME, RES)","ChatGPT-3.5, Gemini",No,No,Standalone prompts,Pure prompt-response model,Few-shot,Instruction,Yes,No,No,"PURE, PROMISE, Aerospace NER, REQuestA",Yes,"Accuracy, F1, Precision, Recall for extraction/classification/NER. ROUGE, BLEU, METEOR for QA","Benchmark-based evaluation. Five-run average (NER), manual + automated scoring (QA).","Functional Suitability, Performance Efficiency, Reliability",1,1,1,1,4,1,0,0,1,0,0,1,1,1,0,Conceptual Evaluation,GLMs not optimal for NER without heavy prompt tuning.
30,GUing: A Mobile GUI Search Engine using a Vision-Language Model,Wei J.; Courbis A.-L.; Lambolais T.; Xu B.; Bernard P.L.; Dray G.; Maalej W.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005206519&doi=10.1145%2f3702993&partnerID=40&md5=d5bacb83be83d8a093ff028df4af93df,Article,guing: a mobile gui search engine using a vision-language model,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,,1,,, General ,Text-to-GUI retrieval for early prototyping,CLIP (openai/clip-vit-base-patch32),"Yes — Fine-tuned on GUI-specific data (SCapRepo, Screen2Words, Clarity)","Training: 5 epochs, batch size 128, learning rate 5e−5",Standalone system (GUing search engine) built on GUIClip,Contrastive learning with CLIP-style loss,Zero-shot,Instructional/Descriptive,Yes,GUing,Yes,"SCapRepo (135k image-caption pairs)
ScreenRepo (303k images)
Also uses: Clarity, Screen2Words, Enrico, Swire",Yes,"Precision, Recall, F1
",Domain experts,"Functional Suitability, Reliability, Performance Efficiency, Usability, Maintainability, Portability",1,1,1,1,4,1,0,0,1,1,1,0,1,0,1,Conceptual / Prototype,Human Evaluation Bias and query selection bias
31,Collaboration with Generative AI to improve Requirements Change,Kong Y.; Zhang N.; Duan Z.; Yu B.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003992421&doi=10.1016%2fj.csi.2025.104013&partnerID=40&md5=c16461112c4cd9a3e5e381d1eb4dad66,Article,collaboration with generative ai to improve requirements change,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,,,1,Software development systems,Requirements Change (RC) management,ChatGPT-3.5,No,No,Hibrid-Incorporates Requirements Traceability Matrix (RTM) and Generative Requirements Structure Model (GRSM),Multi-agent role prompting,"Few-shot, CoT",Instructional and iterative,Yes,SRC (Satisfy Requirements Change),No,No,No,"Efficiency improvement, Pass/fail verification, Manual and formal verification",Controlled case studies+Human evaluation,"Functional suitability, Reliability, Performance efficiency, Usability, Security",1,1,1,1,4,0,0,1,1,1,0,0,1,1,0,Case studies,Modeling dependency
32,An empirical study on LLM-based classification of requirements-related provisions in food-safety regulations,Hassani S.; Sabetzadeh M.; Amyot D.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218632450&doi=10.1007%2fs10664-025-10619-z&partnerID=40&md5=fb9cc044506c4fa76c0e46df090a0ec2,Article,an empirical study on llm-based classification of requirements-related provisions in food-safety regulations,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,1,,, Food safety,Sentence-level classification of legal text into RE-relevant categories,"GPT-3.5-turbo, GPT-4o,  LLaMA-3-8B-Instruct, Mixtral-8x7B-Instruct-v0.1",Yes – GPT-3.5 and GPT-4o are fine-tuned using a conversational setup.,temperature=0.2,Standalone classification pipeline with sentence-level input,"Few-shot learning, fine-tuning, and manual keyword backoff",Few-shot,Instructional + Examples,Yes,No,Yes,"Training: Canadian SFCR & FSRG regulations
Test set includes additional FSRG and US FDA regulations",Yes,"Precision, Recall, F1",Controlled experiment,"Functional suitability, Performance efficiency, Usability",1,1,1,1,4,1,0,0,1,1,1,0,1,1,1,Concept/prototype,"Caution against fine-tuning overfitting, domain generalizability"
33,User needs insights from UGC based on large language model,Wei W.; Hao C.; Wang Z.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001055948&doi=10.1016%2fj.aei.2025.103268&partnerID=40&md5=44afd12ea80f44125c42a1c433549270,Article,user needs insights from ugc based on large language model,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,1,,,,"Smart wearable bands (consumer electronics, e-commerce)",Extraction and prioritization of product attributes; sentiment analysis and mapping to IPA-Kano model,LLaMA2-Chinese-7B,No,No,Standalone,MLP,Zero-shot,Instruction + Example,Yes,No,No,"proprietary dataset (JD.com, Xiaomi, Huawei community UGC)",Yes (on request),"controlled experiment (MLP classification on labeled sentiment data, comparison with baselines)",,Performance efficiency,1,1,1,1,4,0,0,0,0,1,0,0,0,0,0,"concept/prototype, discussed potential",Model struggles with neutral sentiment classification; computational cost of LLMs; limited by data deviation; no fine-tuning
34,Research on Hybrid Collaborative Development Model Based on Multi-Dimensional Behavioral Information,Gao S.; Liao W.; Shu T.; Zhao Z.; Wang Y.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004796181&doi=10.3390%2fapp15094907&partnerID=40&md5=c66ade03198bba5c9aaae1e3416b63d4,Article,research on hybrid collaborative development model based on multi-dimensional behavioral information,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,1,,1,"General software engineering (cross-domain, not limited to a specific industry)","Requirements semantic parsing, code generation, test optimization, project deployment/orchestration, cross-stage collaboration, expert routing","Deepseek v3-32B, CodeGeeX4-all-9B",Yes,No,Hybrid,,Few-shot,Instruction + Descriptive + Chain-of-thought + Role-based,Yes,HCDMB (Hybrid Collaborative Development Model based on Multi-Dimensional Behavioral Information),No,No,No,"expert activation accuracy (F1), variance of weight assignment (ANOVA), user adoption rate, system response latency",system implementation with quantitative evaluation (no controlled user study),"Functional Suitability, Reliability, Usability, Performance efficiency",1,1,1,1,4,0,0,1,1,1,1,1,0,0,0,"concept/prototype, barriers highlighted","Limited expert model coverage,  generalization in vertical domains, tradeoff between scalability and task-decoupling, computation cost vs. real-time, no public dataset or open-source code"
35,HGNNLink: recovering requirements-code traceability links with text and dependency-aware heterogeneous graph neural networks,Wang B.; Zou Z.; Liang X.; Jin H.; Liang P.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006909628&doi=10.1007%2fs10515-025-00528-2&partnerID=40&md5=1ddbc82115af34f5522405d8b843d4b6,Article,hgnnlink: recovering requirements-code traceability links with text and dependency-aware heterogeneous graph neural networks,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,,,1,1,General domain,Requirements-to-code traceability link recovery (RC-TLR),"GraphCodeBERT (for code artifacts), general-purpose pre-trained models (Word2Vec, BERT, RoBERTa, ALBERT, XLNet) for requirements artifacts",No,No,Hybrid,,"feature-based, message-passing, graph neural network aggregation",N/A,No,HGNNLink, Yes,"Ten open-source software projects (iTrust, Derby, Drools, Maven, Pig, Seam2, Infinispan, smos, Groovy, Dronology)",Yes,"precision, recall, F1-score",controlled experiment (empirical study with repeated runs and statistical significance testing),Performance efficiency,1,1,1,1,4,0,0,0,0,0,0,0,1,0,0,concept/prototype,"Limited to Java code artifacts; performance depends on artifact scale and quality; cannot analyze non-Java dependencies (e.g., JSP); requires high-quality, sufficiently large datasets"
36,Overcoming Data Shortage in Critical Domains With Data Augmentation for Natural Language Software Requirements,Korfmann R.; Beyersdorffer P.; Gerlich R.; Münch J.; Kuhrmann M.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005212822&doi=10.1002%2fsmr.70027&partnerID=40&md5=ff501a63796536da75d85603092d1b9e,Article,overcoming data shortage in critical domains with data augmentation for natural language software requirements,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,,1,,"Aerospace (critical domains, European space projects)",Data augmentation of software requirements for AI-based quality assurance; generation of synthetic requirements; semantic similarity detection; ambiguity detection,"GPT-2 (for generative augmentation); T5 (for PARA paraphrasing); BERT (for classifier, not as GenAI)",Yes,No,Standalone,Data Augmentation,few-shot (for GPT-2 generation); instruction-based for PARA and RTT; manual annotation for classifier,"Instruction (sentence completion, paraphrasing, translation)",No,No,No, ESSR (European Space Software Repository),No,"Precision, Recall, Specificity, F1-score, Training loss, Validation loss, Accuracy (for classifier)",Controlled experiment; single-blind manual evaluation; 10-fold cross-validation for classifier,"Performance efficiency, Reliability",1,1,1,1,4,1,0,1,0,1,0,1,1,1,0,"concept/prototype; barriers highlighted (data scarcity, domain adaptation)",Generalizability to other domains not established; quality of input requirements directly affects output; duplicates in augmentation; manual annotation required
37,Elicitron: A Large Language Model Agent-Based Simulation Framework for Design Requirements Elicitation,Ataei M.; Cheong H.; Grandi D.; Wang Y.; Morris N.; Tessier A.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001098804&doi=10.1115%2f1.4067388&partnerID=40&md5=fdb2a897825b4bd016f5dfce02026c3c,Article,elicitron: a large language model agent-based simulation framework for design requirements elicitation,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,1,,,,"Product design, specifically tent design (generalizable to other product domains)",Automated and augmented requirements elicitation using LLM agents to simulate diverse user interviews,GPT-4-Turbo,No,No,Standalone (agent-based simulation framework),,"few-shot, chain-of-thought, role-based","Instruction + Descriptive + Iterative (role, scenario, interview, chain-of-thought)",Yes,Elicitron,No,"Proprietary dataset (tent design scenario, agent responses, interview data)",No," mean distance to centroid, silhouette score, F1-score (interrater agreement), precision, recall, human qualitative analysis","Controlled experiment (three experiments: agent diversity, latent needs generation, latent needs detection)",,1,1,1,1,4,1,0,0,1,1,0,0,0,0,0,concept/prototype,"LLM bias, dependence on training data, risk of generic outputs"
38,COTR: Efficient Job Task Recognition for Occupational Information Systems with Class-incremental Learning,Qin C.; Fang C.; Yao K.; Chen X.; Zhuang F.; Zhu H.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005642562&doi=10.1145%2f3712306&partnerID=40&md5=250927e6b87400990bd68f2e78b9572a,Article,cotr: efficient job task recognition for occupational information systems with class-incremental learning,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,,1,,1,1,Occupational Information Systems,Occupation-specific job task (OST) recognition and incremental OST recognition from job descriptions,"ChatGPT (GPT-3.5/4), Nanbeige-16B, Llama2-13B, Baichuan2-13B",Yes,No,Hybrid,out-of-distribution (OOD) detection module,"few-shot, supervised fine-tuning (LoRA)",Instruction + Descriptive + Classification + Iterative,Yes,COTR,No,"Job-CN, Job-US, CLINC-FULL, BANKING","partial (Job-CN, Job-US proprietary; CLINC-FULL, BANKING public)","accuracy, F1-score, Forgetting Rate (FR), human evaluation","controlled experiment, case study, human expert study","Functional suitability, Performance efficiency, Usability",1,1,1,1,4,0,0,0,0,1,0,0,0,0,0,concept/prototype,"Annotation cost, instability of LLM API, limited open-source LLM performance"
39,Simulating Requirement Elicitation: Development and Evaluation of a Persona-Based Tool,Akhmetov I.; Prpa M.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000236520&doi=10.1145%2f3641555.3705250&partnerID=40&md5=673d5629c240bcd218aef1390d8e79c7,Conference paper,simulating requirement elicitation: development and evaluation of a persona-based tool,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,,,,,Software engineering education (Database Management Systems course),Simulated requirements elicitation interviews with LLM-driven personas for conceptual modeling and ER diagram creation,gpt-4o-mini,No,No,Standalone,,role-based,Instruction + Descriptive + Classification + Iterative,No,Requirement Elicitation Tool,Yes,No,No,"number of student interactions, quality of ER diagrams (subjective)",classroom deployment (case study),Usability,1,0.5,0.5,1,3,0,0,0,0,1,0,0,0,0,0,concept/prototype,No direct user feedback yet
40,Mining App Reviews for User Feedback Analysis in Requirements Engineering: A Project Report,Motger Q.; Oriol M.; Tiessler M.; Franch X.; Marco J.,2025,Scopus,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006486626&partnerID=40&md5=0bcc30073d212abe22063e4b1751b7a9,Conference paper,mining app reviews for user feedback analysis in requirements engineering: a project report,New,FALSE,FALSE,Analyze now,Haowei,,Yes,F,1,1,,,,Mobile app review mining ,"Feature extraction, competition analysis, emotion extraction from app reviews","GPT-4o, DeepSeek, Mistral, encoder-only LLMs (BERT, RoBERTa, XLNet)",Yes,No,"Standalone, retrieval-augmented, agent (multi-agent framework in related projects)",supervised and unsupervised learning,few-shot,"Instruction + Descriptive, guidelines/examples for few-shot",No,"AppReviewCollector, TransFeatEx, T-FREX, RE-Miner",Yes,"MApp-KG, Features from crowdsourced repositories, Emotions from manual annotation",Yes,"inter-rater agreement (emotion annotation), accuracy (planned for extraction methods)","Replication studies, annotation agreement analysis, planned controlled experiments","Functional suitability, Performance efficiency, Usability",1,1,1,1,4,0,0,0,0,0,0,1,1,0,0,concept/prototype,"Sentiment ambiguity, data imbalance"
